parameter,value,replication,fitness,precision,quality_weighted_fitness,num_quality_issues,high_severity_issues,avg_confidence,conformance_triggered,num_conformance_issues,num_backtrack_results
conformance_threshold,0.5,0,1.0,0.8736723258342394,0.70005,24,10,0.8384053414734979,0,0,0
conformance_threshold,0.5,1,1.0,0.8848348607988933,0.7001499999999998,21,9,0.8488752391418983,0,0,0
conformance_threshold,0.5,2,0.9484446747696748,0.9867109634551495,0.701422259225913,24,12,0.8688543099924774,0,0,0
conformance_threshold,0.5,3,0.9821124001245909,0.9207271037807073,0.6917017634077492,26,11,0.816128627735723,0,0,0
conformance_threshold,0.5,4,0.901922989235017,0.7163080026899799,0.6313460924645118,21,9,0.8859108141996169,0,0,0
conformance_threshold,0.55,0,1.0,0.871931209238566,0.6999999999999998,24,10,0.8398355529792002,0,0,0
conformance_threshold,0.55,1,1.0,0.8890741292051205,0.6999999999999998,21,9,0.8479886777410086,0,0,0
conformance_threshold,0.55,2,0.9986135037348273,0.96370429677075,0.7321834209383753,25,11,0.8557272758245844,0,0,0
conformance_threshold,0.55,3,0.960278654607552,0.9275576946809824,0.6760361728437164,24,11,0.8493196509010484,0,0,0
conformance_threshold,0.55,4,0.954754972595824,0.847117233975936,0.6683284808170766,21,9,0.885382970244382,0,0,0
conformance_threshold,0.6,0,1.0,0.8733766233766234,0.7000499999999998,24,10,0.8409348590501904,0,0,0
conformance_threshold,0.6,1,1.0,0.8882934381326664,0.6999999999999998,21,9,0.8501772058483158,0,0,0
conformance_threshold,0.6,2,0.9009908008658009,0.967388125182802,0.6583089286525973,25,11,0.8558482673920463,0,0,0
conformance_threshold,0.6,3,0.9596575369312564,0.9219346627068308,0.6760787347680701,26,11,0.8196773113361245,0,0,0
conformance_threshold,0.6,4,0.9636416407623256,0.7501696015101909,0.6745491485336278,21,9,0.881932998070968,0,0,0
conformance_threshold,0.65,0,1.0,0.8780343897505057,0.6999999999999998,24,10,0.84429978988395,0,0,0
conformance_threshold,0.65,1,1.0,0.8797386390393218,0.7001,21,9,0.8438078131322561,0,0,0
conformance_threshold,0.65,2,1.0,0.9738226959924436,0.7335999999999999,25,11,0.8488589253027956,0,0,0
conformance_threshold,0.65,3,0.9475095944176373,0.9469052508066882,0.6679942640644342,25,11,0.8279452877379849,0,0,0
conformance_threshold,0.65,4,0.9345471600212776,0.6864969964305406,0.6541830120148941,22,9,0.843166317938503,1,1,1
conformance_threshold,0.7,0,1.0,0.8720751423465358,0.7001,23,10,0.8672641740900024,0,0,0
conformance_threshold,0.7,1,1.0,0.8861560084328882,0.6999999999999998,21,9,0.8487328296228518,0,0,0
conformance_threshold,0.7,2,1.0,0.9756165142698808,0.73465,25,11,0.8600578733906161,0,0,0
conformance_threshold,0.7,3,0.8799527813416647,0.9247335061941804,0.6200587273724039,26,11,0.8107828498452048,0,0,0
conformance_threshold,0.7,4,0.8915383611375735,0.6398002043364741,0.6240768527963013,22,9,0.8437138222732048,1,1,1
conformance_threshold,0.75,0,1.0,0.8794133853261561,0.6999999999999998,24,10,0.8429669953204512,0,0,0
conformance_threshold,0.75,1,1.0,0.8838077461502567,0.7002499999999999,21,9,0.8469631742749667,0,0,0
conformance_threshold,0.75,2,0.9514467532467532,0.9818590704647676,0.7013114018181816,25,11,0.8380448174738566,0,0,0
conformance_threshold,0.75,3,0.9578985570844705,0.9304067859575258,0.6745521638988841,26,11,0.8121979542580621,0,0,0
conformance_threshold,0.75,4,0.8798430362761656,0.6172186184135655,0.6158901253933158,21,9,0.8625027136894401,1,1,1
conformance_threshold,0.8,0,1.0,0.8774893617021277,0.7000499999999998,22,10,0.8816412263598367,0,0,0
conformance_threshold,0.8,1,1.0,0.8879850178498273,0.7001,21,9,0.8481552315608523,0,0,0
conformance_threshold,0.8,2,0.9516218281718282,0.9875505757858699,0.7039622473901098,25,10,0.8416562262204101,0,0,0
conformance_threshold,0.8,3,0.958270954199683,0.9224786909724383,0.6744310975657368,25,11,0.8324080857821285,0,0,0
conformance_threshold,0.8,4,0.9508494379986482,0.7378068546842307,0.6655946065990536,21,9,0.8830184703695513,0,0,0
conformance_threshold,0.8500000000000001,0,1.0,0.8729261091937295,0.7000499999999998,24,10,0.8408510774234159,0,0,0
conformance_threshold,0.8500000000000001,1,1.0,0.8847822314766615,0.7001,21,9,0.8450050739039737,0,0,0
conformance_threshold,0.8500000000000001,2,0.9502856088356089,0.9866707997520149,0.6962267513134087,25,11,0.8620079135768315,0,0,0
conformance_threshold,0.8500000000000001,3,0.9552828570275838,0.9286073088032148,0.6729490086330812,25,11,0.834945736479791,0,0,0
conformance_threshold,0.8500000000000001,4,0.9470955005248012,0.8172976100083161,0.6629668503673607,21,9,0.8837857448587605,0,0,0
conformance_threshold,0.9,0,1.0,0.8760168536982187,0.6999999999999998,24,10,0.840333465772456,0,0,0
conformance_threshold,0.9,1,1.0,0.8887964338781575,0.7003499999999998,20,9,0.8694610847876703,0,0,0
conformance_threshold,0.9,2,1.0,0.9696192276532541,0.7319499999999999,25,12,0.8596895853183806,0,0,0
conformance_threshold,0.9,3,0.9534631343711378,0.9434350603264727,0.670904334500251,26,11,0.8203540555118948,0,0,0
conformance_threshold,0.9,4,0.9317453265130611,0.8181279871420717,0.6522217285591426,21,9,0.8844444876515721,0,0,0
