parameter,value,replication,fitness,precision,quality_weighted_fitness,num_quality_issues,high_severity_issues,avg_confidence,conformance_triggered,num_conformance_issues,num_backtrack_results
c1_probability,0.0,0,1.0,0.8471002740338907,0.6999999999999998,21,8,0.8543286095501961,0,0,0
c1_probability,0.0,1,0.9908357420684755,0.8148106528823463,0.6937831865963463,18,6,0.884560786588739,0,0,0
c1_probability,0.0,2,1.0,0.8509708186669694,0.6999999999999998,21,8,0.8724598799344495,0,0,0
c1_probability,0.0,3,1.0,0.8432815331393114,0.6999999999999998,21,8,0.8632374307290508,0,0,0
c1_probability,0.0,4,1.0,0.8458627789215959,0.6999999999999998,21,8,0.8774531082398472,0,0,0
c1_probability,0.1,0,1.0,0.8442912300055158,0.6999999999999998,21,8,0.8522305910308555,0,0,0
c1_probability,0.1,1,0.9897652690375893,0.8206621132385324,0.6928851765897643,18,6,0.8836879344755032,0,0,0
c1_probability,0.1,2,1.0,0.8451691896705253,0.7001999999999998,22,8,0.8833515151745488,0,0,0
c1_probability,0.1,3,1.0,0.8507632071724451,0.6999999999999998,21,8,0.8644512340818624,0,0,0
c1_probability,0.1,4,0.9654211540356454,0.8554206380293337,0.6757948078249516,21,9,0.8842792386408211,0,0,0
c1_probability,0.2,0,1.0,0.8412138320395202,0.70005,21,8,0.8511201720408218,0,0,0
c1_probability,0.2,1,0.9710331980307515,0.830526909442475,0.6798688936012305,18,6,0.8838011246217679,0,0,0
c1_probability,0.2,2,0.9795229391375838,0.909575852198803,0.6864006996006616,24,10,0.8600782082338725,0,0,0
c1_probability,0.2,3,1.0,0.852183331433132,0.6999999999999998,21,8,0.863758926312659,0,0,0
c1_probability,0.2,4,0.9345990383310406,0.7597306618492363,0.6542193268317283,20,9,0.9033855291291069,0,0,0
c1_probability,0.30000000000000004,0,1.0,0.8495530157293198,0.6999999999999998,21,8,0.8553024553546442,0,0,0
c1_probability,0.30000000000000004,1,0.9904488335961239,0.8073067653941532,0.6934132284006463,18,6,0.8852245611706611,0,0,0
c1_probability,0.30000000000000004,2,1.0,0.9024331047873309,0.7005499999999999,23,9,0.8676747382688,0,0,0
c1_probability,0.30000000000000004,3,1.0,0.8670908448214917,0.7000499999999998,22,10,0.8517612280912022,0,0,0
c1_probability,0.30000000000000004,4,0.9320216674869607,0.8108508014796547,0.6524151672408723,21,9,0.8807173550436377,0,0,0
c1_probability,0.4,0,1.0,0.8431038275406951,0.7000499999999998,21,8,0.8517334980162161,0,0,0
c1_probability,0.4,1,0.9995269591481794,0.8061029009304872,0.6996688714037254,18,6,0.8850987539211475,0,0,0
c1_probability,0.4,2,1.0,0.9020442419519213,0.7007999999999999,24,9,0.8380740698302219,0,0,0
c1_probability,0.4,3,1.0,0.8613193717277488,0.6999999999999998,22,10,0.8591990488518064,0,0,0
c1_probability,0.4,4,0.8866447134335478,0.6397506523630038,0.6206512994034833,22,9,0.84531907130999,1,1,1
c1_probability,0.5,0,1.0,0.8493127534925642,0.7000499999999998,21,8,0.8539442933787733,0,0,0
c1_probability,0.5,1,0.9667971687257624,0.8717047451669596,0.6768546978249061,19,7,0.8395458095193948,0,0,0
c1_probability,0.5,2,0.9546375679875679,0.9859239293201557,0.6981741853477078,25,12,0.8589645430070868,0,0,0
c1_probability,0.5,3,0.9783131161438134,0.8913765708507873,0.6871182171236073,24,11,0.840800649164665,0,0,0
c1_probability,0.5,4,0.9673356785719258,0.8430400184523124,0.6771349750003479,21,9,0.8831416363518235,0,0,0
c1_probability,0.6000000000000001,0,1.0,0.8763323541754091,0.7001,24,10,0.8452629455614264,0,0,0
c1_probability,0.6000000000000001,1,0.9844537665855235,0.8852193419740778,0.689216081986525,18,7,0.8654567822927607,0,0,0
c1_probability,0.6000000000000001,2,1.0,0.9608938547486033,0.7329999999999999,25,11,0.8598444645011355,0,0,0
c1_probability,0.6000000000000001,3,0.9643400219787578,0.9306721382826587,0.6788953754730455,25,11,0.820257222808853,0,0,0
c1_probability,0.6000000000000001,4,0.8938812344687289,0.6292821960263435,0.6257168641281101,22,9,0.8438411261593256,1,1,1
c1_probability,0.7000000000000001,0,1.0,0.8778170664167342,0.6999999999999998,23,10,0.8520464706212769,0,0,0
c1_probability,0.7000000000000001,1,1.0,0.8883474953948541,0.70005,21,9,0.8501327893169691,0,0,0
c1_probability,0.7000000000000001,2,1.0,0.9682457053617908,0.7308,25,12,0.8571965048235096,0,0,0
c1_probability,0.7000000000000001,3,0.9755372769250636,0.9318623528066766,0.687022127274476,26,11,0.8173554834686184,0,0,0
c1_probability,0.7000000000000001,4,0.9083730188349107,0.6891772710091975,0.6358611131844374,22,9,0.8434573232496899,1,1,1
c1_probability,0.8,0,1.0,0.877409702927976,0.7000499999999998,24,10,0.8404054606965573,0,0,0
c1_probability,0.8,1,1.0,0.8850709510965169,0.6999999999999998,21,9,0.8477908416169891,0,0,0
c1_probability,0.8,2,0.9528645881895882,0.9852108244178729,0.7004507587781662,25,11,0.8593709799566941,0,0,0
c1_probability,0.8,3,0.9605584130123452,0.9213142580019399,0.6768094578084983,26,11,0.8032564206301777,0,0,0
c1_probability,0.8,4,0.886370991363644,0.6600725844835793,0.6204596939545506,22,9,0.8431097173133931,1,1,1
