param1,param1_value,param2,param2_value,replication,fitness,precision,num_quality_issues,avg_confidence,conformance_triggered,detection_accuracy
c1_probability,0.0,c3_probability,0.0,0,1.0,0.8462604646005434,21,0.8674003461283675,0,0.8095238095238095
c1_probability,0.0,c3_probability,0.0,1,1.0,0.844552432492131,21,0.8704201832749854,0,0.8095238095238095
c1_probability,0.0,c3_probability,0.0,2,1.0,0.8478685960109503,21,0.8666686456321234,0,0.8095238095238095
c1_probability,0.0,c3_probability,0.15,0,1.0,0.8464698046181172,21,0.8667795369304481,0,0.8095238095238095
c1_probability,0.0,c3_probability,0.15,1,1.0,0.8499236036443891,19,0.910123478517632,0,0.9473684210526315
c1_probability,0.0,c3_probability,0.15,2,1.0,0.8478444157158114,21,0.8817755883059559,0,0.8095238095238095
c1_probability,0.0,c3_probability,0.3,0,1.0,0.8485699837051188,21,0.8470478784139471,0,0.8095238095238095
c1_probability,0.0,c3_probability,0.3,1,0.9746434174697605,0.8794283036551078,21,0.8902557351286505,0,0.8571428571428571
c1_probability,0.0,c3_probability,0.3,2,0.9994423423149472,0.8539451594851707,21,0.8626066477161272,0,0.8095238095238095
c1_probability,0.0,c3_probability,0.44999999999999996,0,0.998779307267984,0.826417704011065,21,0.8792098404242461,0,0.9047619047619048
c1_probability,0.0,c3_probability,0.44999999999999996,1,0.96800038674829,0.8380800283914471,21,0.8527613081251735,0,0.8095238095238095
c1_probability,0.0,c3_probability,0.44999999999999996,2,0.9978764576291761,0.7970134673086317,19,0.9012828741008136,0,0.8947368421052632
c1_probability,0.0,c3_probability,0.6,0,0.9806275266640869,0.8122472559214327,21,0.8734268601663454,0,0.8095238095238095
c1_probability,0.0,c3_probability,0.6,1,0.976389110206814,0.8681497818478209,21,0.8519793733177523,0,0.8095238095238095
c1_probability,0.0,c3_probability,0.6,2,1.0,0.8468087474264092,19,0.8990113040721455,0,0.7894736842105263
c1_probability,0.15,c3_probability,0.0,0,1.0,0.8429906542056075,21,0.8878463492602868,0,0.8571428571428571
c1_probability,0.15,c3_probability,0.0,1,0.9996757951593992,0.8207482856799133,21,0.8728405322567531,0,0.8571428571428571
c1_probability,0.15,c3_probability,0.0,2,1.0,0.8450188595518083,22,0.8585004838757502,0,0.8636363636363636
c1_probability,0.15,c3_probability,0.15,0,1.0,0.8509111617312073,21,0.8699558332436426,0,0.9047619047619048
c1_probability,0.15,c3_probability,0.15,1,0.9962574242301435,0.8320659062103929,23,0.8663477042902016,0,0.8260869565217391
c1_probability,0.15,c3_probability,0.15,2,1.0,0.8460072849537685,19,0.9106547028744664,0,0.9473684210526315
c1_probability,0.15,c3_probability,0.3,0,0.9880993447117856,0.8416310093128618,22,0.8322667544562005,0,0.7727272727272727
c1_probability,0.15,c3_probability,0.3,1,0.9601107723566396,0.8804149172635218,21,0.8433555212161394,0,0.7619047619047619
c1_probability,0.15,c3_probability,0.3,2,1.0,0.8450072038124792,19,0.8991974247874159,0,0.7894736842105263
c1_probability,0.15,c3_probability,0.44999999999999996,0,1.0,0.8469217042159268,21,0.872058903898371,0,0.8571428571428571
c1_probability,0.15,c3_probability,0.44999999999999996,1,1.0,0.8462267834235038,21,0.8797811429283344,0,0.8095238095238095
c1_probability,0.15,c3_probability,0.44999999999999996,2,1.0,0.8736733854380914,23,0.8669826970709578,0,0.8260869565217391
c1_probability,0.15,c3_probability,0.6,0,1.0,0.8465374271627073,21,0.8626011617621172,0,0.8095238095238095
c1_probability,0.15,c3_probability,0.6,1,1.0,0.8584401170416709,22,0.8863985296932477,0,0.8636363636363636
c1_probability,0.15,c3_probability,0.6,2,1.0,0.8481586402266289,18,0.8503238530925429,0,0.7777777777777778
c1_probability,0.3,c3_probability,0.0,0,1.0,0.8610364870805451,22,0.8680360276218131,0,0.8181818181818182
c1_probability,0.3,c3_probability,0.0,1,1.0,0.8463339838304991,19,0.8176427331248657,0,0.7894736842105263
c1_probability,0.3,c3_probability,0.0,2,1.0,0.8853541416566627,22,0.8452020972751971,0,0.8181818181818182
c1_probability,0.3,c3_probability,0.15,0,0.9776508693777225,0.8618766756032171,24,0.8752087651878302,0,0.9166666666666666
c1_probability,0.3,c3_probability,0.15,1,0.9856992153158028,0.9033432392273403,19,0.908227321486514,0,0.8947368421052632
c1_probability,0.3,c3_probability,0.15,2,0.8847928353573596,0.7035718063537957,21,0.8888800290147556,0,0.8095238095238095
c1_probability,0.3,c3_probability,0.3,0,1.0,0.9024014602703782,21,0.8464369975583346,0,0.8095238095238095
c1_probability,0.3,c3_probability,0.3,1,1.0,0.8473401877514528,21,0.8683562840676691,0,0.8571428571428571
c1_probability,0.3,c3_probability,0.3,2,0.9828201394550021,0.8866071428571428,23,0.8817306020132072,0,0.8695652173913043
